active,airbnb_host_id,airbnb_property_id,latitude,longitude,number_of_reservations,property_id,property_type,reporting_month,reservation_days,sa1,sa2,sa2name,scraped_during_month,state
FALSE,11086,5968,-36.84889,174.87026,0,ab-5968,House,2020-12-01,0,7006623,144000,Glendowie North,FALSE,Auckland
FALSE,26498,8709,-36.81494,175.0757,0,ab-8709,Chalet,2020-01-01,0,7003389,151700,Waiheke East,TRUE,Auckland
FALSE,221513,48652,-36.70053,174.75486,0,ab-48652,Bed and breakfast,2020-01-01,0,7002116,117200,Torbay,FALSE,Auckland
TRUE,234911,51081,-36.92029,174.65791,4,ab-51081,Residential home,2020-01-01,20,7007298,131500,Glen Eden Central,TRUE,Auckland
FALSE,240890,52131,-36.91382,174.93863,0,ab-52131,Bed and breakfast,2020-01-01,0,7009333,153800,Somerville,FALSE,Auckland
TRUE,240890,52133,-36.91515,174.93825,0,ab-52133,Rental unit,2020-01-01,0,7006956,157100,Turanga,TRUE,Auckland
FALSE,240890,52336,-36.91396,174.93722,0,ab-52336,Bed and breakfast,2020-01-01,0,7009333,153800,Somerville,FALSE,Auckland
TRUE,431511,79938,-36.80864,174.72053,0,ab-79938,Townhouse,2020-01-01,12,7002679,126500,Birkenhead North,TRUE,Auckland
FALSE,475889,86839,-36.78811,174.68541,0,ab-86839,Residential home,2020-01-01,0,7002351,121800,Beach Haven West,TRUE,Auckland
TRUE,488135,89781,-36.87272,174.7467,3,ab-89781,Apartment,2020-01-01,7,7005166,136200,Eden Park,TRUE,Auckland
TRUE,650296,132279,-36.857,174.783,4,ab-132279,Apartment,2020-01-01,27,7005687,136400,Parnell West,TRUE,Auckland
TRUE,645811,134163,-36.88713,174.69667,0,ab-134163,Residential home,2020-01-01,0,7004384,132000,Avondale North (Auckland),TRUE,Auckland
FALSE,662214,135012,-36.69684,174.73737,0,ab-135012,Residential home,2020-01-01,0,7001946,116800,Awaruku,TRUE,Auckland
FALSE,677889,138913,-36.88646,174.76315,0,ab-138913,Bed and breakfast,2020-01-01,0,7005425,139000,Mount Eden East,FALSE,Auckland
TRUE,698778,144144,-36.86411,174.59734,0,ab-144144,Cabin,2020-01-01,0,7003474,123000,Ranui North,TRUE,Auckland
TRUE,669085,147996,-36.918,174.883,10,ab-147996,Residential home,2020-01-01,12,7008813,151500,Pakuranga Heights South West,TRUE,Auckland
TRUE,741305,154119,-36.83699,174.65858,0,ab-154119,Residential home,2020-01-01,0,7004205,125300,Te Atatu Peninsula East,TRUE,Auckland
